Address,Categories,City,Name,Postal Code,Province
10037 Broadview Rd,Fast Food Restaurant,Broadview Heights,Burger King,44147,OH
475 Chippewa Mall Dr,Fast Food Restaurants,Chippewa Falls,Toppers Pizza,54729,WI
212 S 7th St,Fast Food Restaurants,Delavan,Hernandez Mexican Restaurant,53115,WI
1931 E Geneva St,Fast Food Restaurant,Delavan,Culver's,53115,WI
2680 Market St,Fast food restaurants,Christiansburg,Burger King,24073,VA
2650 Market St,Fast Food Restaurant,Christiansburg,Arby's,24073,VA
2680 Market St,Fast Food Restaurant,Christiansburg,Burger King,24073,VA
1004 S Main St,Fast food restaurants,Farmville,Burger King,23901,VA
1709 Allied Ln,Fast Food Restaurants,Charlottesville,Glorious Foods Gourmet to go & Catering,22903,VA
1835 Ne Division St,Fast Food Restaurants,Gresham,Little Caesars Pizza,97030,OR
9575 Dyer St,Fast Food Restaurants,El Paso,Arby's,79924,TX
2202 N Richmond Rd,Fast Food Restaurants,Wharton,Pizza Hut,77488,TX
3120 W Fm 120,Fast Food Restaurants,Denison,Burger King,75020,TX
1705 Expressway 83,Fast Food Restaurants,Penitas,McDonald's,78576,TX
2280 E Garrison St,Fast Food Restaurant,Eagle Pass,Burger King,78852,TX
2207 Veterans Blvd,Fast Food Restaurants,Del Rio,Chick-Fil-A,78840,TX
2208 Highway 21 E,Fast Food Restaurant,Bryan,Burger King,77803,TX
1216 W Henderson St,Fast Food Restaurants,Cleburne,Schlotzsky's,76033,TX
801 Ne Alsbury Blvd,"Restaurant, Fast Food Restaurant, and Sandwich Place",Burleson,Arby's,76028,TX
1105 N Burleson Blvd,Fast Food Restaurant,Burleson,Chick-Fil-A,76028,TX
5301 Bellaire Blvd,Fast Food Restaurant and Burger Joint,Bellaire,Burger King,77401,TX
3824 S Clack St,Fast Food Restaurant,Abilene,Arby's,79606,TX
2305 N Saint Marys St,American Restaurant and Fast Food Restaurant,Beeville,Golden Chick,78102,TX
90571 Main St,Fast Food Restaurants,Pettus,Dairy Queen,78146,TX
210 W Sinton St,Fast Food Restaurants,Sinton,Pizza Hut,78387,TX
96 Cannan Dr,Fast Food Restaurants,Angleton,Chicken Express,77515,TX
1890 Bethlehem Pike,Fast Food Restaurant and Playground,Flourtown,McDonald's,19031,PA
707 Washington Ave,Fast Food,Chestertown,Arby's,21620,MD
707 Washington Ave,Fast Food Restaurant,Chestertown,Arby's,21620,MD
1201 E Main St,Fast food restaurants,Alice,Big House Burgers,78332,TX
